Node,Group_name,Relative total impact_1996,Relative total impact_2000,Relative total impact_2005,Relative total impact_2010,Relative total impact_2016,Relative total impact_2019,Relative total impact_2025,Keystone_index_1_1996,Keystone_index_1_2000,Keystone_index_1_2005,Keystone_index_1_2010,Keystone_index_1_2016,Keystone_index_1_2019,Keystone_index_1_2025,Biomass_1996,Biomass_2000,Biomass_2005,Biomass_2010,Biomass_2016,Biomass_2019,Biomass_2025
1,Transient_orca,0.8757,0.6577,0.6975,0.7013,0.7237,0.7286,0.7286,-0.01343,-0.01343,0.005505,0.004727,0.02472,0.02386,0.02386,0.001,0.000978071,0.000740937,0.000551924,0.000437089,0.000431301,0.00042679
2,Salmon_sharks,0.8046,0.6446,0.6826,0.6684,0.665,0.6664,0.6664,-0.02225,-0.02225,-0.003998,-0.01621,-0.01209,-0.01496,-0.01496,0.221,0.1091312,0.08358183,0.07170714,0.06245382,0.05854829,0.05547715
3,Resident_orca,0.02176,0.006159,0.003657,0.00419,0.004928,0.007148,0.007148,-2.042,-2.042,-2.2749,-2.219,-2.1422,-1.9845,-1.9845,0.015,0.006614213,0.004305614,0.002947398,0.001964861,0.001651598,0.001541752
4,Sleeper_sharks,0.7219,0.6478,0.6685,0.6471,0.657,0.6532,0.6532,-0.02005,-0.02005,-0.013,-0.03027,-0.01732,-0.02368,-0.02368,0.1104,0.07031016,0.07008865,0.07436783,0.07460623,0.06674665,0.07638504
5,Halibut,0.1557,0.1608,0.1618,0.1612,0.1675,0.1737,0.1737,-0.6257,-0.6257,-0.6295,-0.6344,-0.6113,-0.5993,-0.5993,0.677,0.4388895,0.4556651,0.4542823,0.4572493,0.4602525,0.4592068
6,Pinnipeds,0.4405,0.47,0.489,0.471,0.3777,0.3487,0.3487,-0.1594,-0.1594,-0.1488,-0.1682,-0.2578,-0.2962,-0.2962,0.072,0.04874751,0.04014969,0.03711022,0.03570858,0.03567281,0.03552946
7,Porpoise,0.3223,0.2437,0.2236,0.2443,0.3173,0.3509,0.3509,-0.4445,-0.4445,-0.4886,-0.4532,-0.3334,-0.2935,-0.2935,0.015,0.009795755,0.0101996,0.01059759,0.01052145,0.01037086,0.01027132
8,Lingcod,0.04356,0.04928,0.04579,0.04838,0.04883,0.0456,0.0456,-1.1388,-1.1388,-1.1773,-1.1566,-1.1462,-1.1797,-1.1797,0.077,0.03575676,0.03590596,0.0352781,0.03471114,0.03483839,0.03447766
9,Arrowtooth_L,0.6327,0.61,0.5778,0.583,0.5881,0.5851,0.5851,-0.04916,-0.04916,-0.0792,-0.0785,-0.06815,-0.07399,-0.07399,4,2.70926,2.782679,2.836322,2.608394,2.642241,2.597746
10,Salmon_L,0.5605,0.377,0.3589,0.6301,0.3688,0.389,0.389,-0.2597,-0.2597,-0.2878,-0.04643,-0.2727,-0.2531,-0.2531,3.41,4.093646,4.52744,4.474413,4.317113,4.304718,4.317064
11,Pacific_cod,0.1509,0.1876,0.1668,0.1728,0.1773,0.184,0.184,-0.5584,-0.5584,-0.6162,-0.6039,-0.5864,-0.574,-0.574,0.3,0.2592029,0.2679954,0.2626596,0.2605524,0.2597574,0.25577
12,Sablefish,0.2229,0.3147,0.2768,0.3157,0.2978,0.296,0.296,-0.3338,-0.3338,-0.3963,-0.3423,-0.3613,-0.3677,-0.3677,0.48,0.3352849,0.3656062,0.3846129,0.3303987,0.3398044,0.3249301
13,Arrowtooth_S,0.07322,0.09213,0.04789,0.06605,0.0693,0.07422,0.07422,-0.8674,-0.8674,-1.158,-1.0215,-0.9943,-0.9683,-0.9683,0.2541561,0.2868648,0.1488203,0.2204121,0.1941648,0.1793817,0.2069268
14,Spiny_dogfish,0.09078,0.1062,0.09431,0.0832,0.08169,0.07168,0.07168,-0.8053,-0.8053,-0.8636,-0.9212,-0.9227,-0.9833,-0.9833,0.16,0.08936013,0.07962069,0.07370412,0.06769624,0.06650656,0.0633367
15,Avian_raptors,1,1,1,1,1,1,1,0.1686,0.1686,0.1619,0.1588,0.1652,0.1614,0.1614,0.003304,0.001870999,0.001676772,0.001708429,0.00172256,0.001725135,0.001727295
