1,Transient orca,21,Baleen whales,41,Jellies
2,Salmon sharks,22,Salmon fry,42,Small deep infauna
3,Resident orca,23,Nearshore demersal,43,Nearshore zooplankton omnivores
4,Sleeper sharks,24,Squids,44,Zooplankton omnivores
5,Halibut,25,Eulachon,45,Small shollow infauna
6,Pinnipeds,26,Sea otters,46,Meiofauna
7,Porpoise,27,Deep epibenthos,47,Large deep infauna
8,Lingcod,28,Capelin,48,Small snails and crustaceans
9,Large arrowtooth flounder,29,Large Pacific herring,49,Mussels
10,Large salmon,30,Small pollock,50,Barnacles
11,Pacific cod,31,Seaducks,51,Shallow infauna clams
12,Sablefish,32,Oystercatchers,52,Nearshore zooplankton herbivores
13,Small arrowtooth flounder,33,Sandlance,53,Zooplankton herbivores
14,Spiny dogfish,34,Sunflower stars,54,Nearshore phytoplankton
15,Avian raptors,35,Pisaster & Evasterias,55,Offshore phytoplankton
16,Octopods,36,Leather stars,56,Fucus
17,Seabirds,37,Cucumbers,57,Subtidal kelps
18,Deep demersals,38,Urchins,58,Macroalgae other
19,Large pollock,39,Helmet crab,,
20,Rockfish,40,Small Pacific herring,,
