Node,Group name
1,Transient_orca
2,Salmon_sharks
3,Resident_orca
4,Sleeper_sharks
5,Halibut
6,Pinnipeds
7,Porpoise
8,Lingcod
9,Arrowtooth_L
10,Salmon_L
11,Pacific_cod
12,Sablefish
13,Arrowtooth_S
14,Spiny_dogfish
15,Avian_raptors
16,Octopods
17,Seabirds
18,Deep_demersals
19,Pollock_L
20,Rockfish
21,Baleen_whales
22,Salmon_fry_S
23,Nshore_demersal
24,Squids
25,Eulachon
26,Sea_otters
27,Deep_epibenthos
28,Capelin
29,Herring_L
30,Pollock_S
31,Invert_eat_seaduck
32,Oystercatchers
33,Sandlance
34,Sunflower_stars
35,Pisaster_Evasterias
36,Leather_stars
37,Cucumbers
38,Urchins
39,Helmet_crab
40,Herring_S
41,Jellies
42,Deep_infauna_S
43,Zoopl_near_onmiv
44,Zoop_omniv
45,Shallow_infauna_S
46,Meiofauna
47,Deep_infauna_L
48,Snail_crust_S
49,Mussels
50,Barnacles
51,Shallow_infauna_clams
52,Zoopl_near_herb
53,Zoopl_herb
54,Phyto_near
55,Phyto_off
56,Fucus
57,Subtidal_kelps
58,Macroalgae_other
59,Eelgrass
