Predator_overlap,Group1,Group2,Prey_overlap,Node1,Node2,Group,Nodes
0.102379508,Arrowtooth_S,Pollock_L,0.840896904,13,19,Arrowtooth_S:Pollock_L,13:19
0.102438524,Zoopl_near_onmiv,Snail_crust_S,0.116765745,43,48,Zoopl_near_onmiv:Snail_crust_S,43:48
0.10458903,Eulachon,Pollock_S,0.312278926,25,30,Eulachon:Pollock_S,25:30
0.104918145,Sandlance,Zoop_omniv,0.321734607,33,44,Sandlance:Zoop_omniv,33:44
0.10947904,Herring_S,Zoop_omniv,0.329492092,40,44,Herring_S:Zoop_omniv,40:44
0.128040656,Capelin,Zoop_omniv,0.269132704,28,44,Capelin:Zoop_omniv,28:44
0.130135685,Octopods,Deep_demersals,0.695284665,16,18,Octopods:Deep_demersals,16:18
0.136916637,Pacific_cod,Pollock_L,0.556004882,11,19,Pacific_cod:Pollock_L,11:19
0.13695389,Pacific_cod,Nshore_demersal,0.341511995,11,23,Pacific_cod:Nshore_demersal,11:23
0.144076169,Pacific_cod,Rockfish,0.549961388,11,20,Pacific_cod:Rockfish,11:20
0.148456648,Urchins,Mussels,0.159793466,38,49,Urchins:Mussels,38:49
0.149810314,Mussels,Shallow_infauna_clams,0.996535301,49,51,Mussels:Shallow_infauna_clams,49:51
0.151320979,Herring_L,Zoopl_near_onmiv,0.273109019,29,43,Herring_L:Zoopl_near_onmiv,29:43
0.156066224,Pollock_L,Salmon_fry_S,0.518823922,19,22,Pollock_L:Salmon_fry_S,19:22
0.170063511,Nshore_demersal,Sandlance,0.109247699,23,33,Nshore_demersal:Sandlance,23:33
0.17530261,Jellies,Zoopl_near_onmiv,0.312748551,41,43,Jellies:Zoopl_near_onmiv,41:43
0.183859691,Salmon_fry_S,Zoopl_near_onmiv,0.234769717,22,43,Salmon_fry_S:Zoopl_near_onmiv,22:43
0.185016707,Arrowtooth_L,Octopods,0.137835756,9,16,Arrowtooth_L:Octopods,9:16
0.18649143,Rockfish,Herring_L,0.434013575,20,29,Rockfish:Herring_L,20:29
0.187551036,Halibut,Octopods,0.264255524,5,16,Halibut:Octopods,5:16
0.194590747,Pollock_L,Eulachon,0.755732179,19,25,Pollock_L:Eulachon,19:25
0.195366323,Barnacles,Zoopl_near_herb,0.495151788,50,52,Barnacles:Zoopl_near_herb,50:52
0.197866768,Eulachon,Herring_L,0.482670516,25,29,Eulachon:Herring_L,25:29
0.203776821,Salmon_fry_S,Capelin,0.918802261,22,28,Salmon_fry_S:Capelin,22:28
0.215877458,Pollock_S,Herring_S,0.958848,30,40,Pollock_S:Herring_S,30:40
0.218730301,Herring_L,Sandlance,0.957140207,29,33,Herring_L:Sandlance,29:33
0.225646511,Salmon_fry_S,Sandlance,0.858192325,22,33,Salmon_fry_S:Sandlance,22:33
0.236469328,Arrowtooth_L,Pacific_cod,0.286793441,9,11,Arrowtooth_L:Pacific_cod,9:11
0.243216351,Halibut,Pacific_cod,0.507086694,5,11,Halibut:Pacific_cod,5:11
0.245478675,Capelin,Zoopl_near_onmiv,0.259699881,28,43,Capelin:Zoopl_near_onmiv,28:43
0.245847151,Helmet_crab,Snail_crust_S,0.916746557,39,48,Helmet_crab:Snail_crust_S,39:48
0.252990603,Snail_crust_S,Barnacles,0.86826396,48,50,Snail_crust_S:Barnacles,48:50
0.253017515,Nshore_demersal,Leather_stars,0.953833103,23,36,Nshore_demersal:Leather_stars,23:36
0.258509696,Nshore_demersal,Helmet_crab,0.282232821,23,39,Nshore_demersal:Helmet_crab,23:39
0.261868656,Deep_demersals,Pollock_L,0.356165141,18,19,Deep_demersals:Pollock_L,18:19
0.268504798,Nshore_demersal,Pisaster_Evasterias,0.448369294,23,35,Nshore_demersal:Pisaster_Evasterias,23:35
0.288822532,Salmon_fry_S,Herring_L,0.941690147,22,29,Salmon_fry_S:Herring_L,22:29
0.297329873,Sandlance,Zoopl_near_onmiv,0.310642868,33,43,Sandlance:Zoopl_near_onmiv,33:43
0.308238924,Pollock_L,Herring_S,0.20750989,19,40,Pollock_L:Herring_S,19:40
0.314989537,Mussels,Zoopl_near_herb,0.118101329,49,52,Mussels:Zoopl_near_herb,49:52
0.316174239,Herring_S,Zoopl_near_onmiv,0.318457842,40,43,Herring_S:Zoopl_near_onmiv,40:43
0.317968965,Snail_crust_S,Zoopl_near_herb,0.113991335,48,52,Snail_crust_S:Zoopl_near_herb,48:52
0.328726977,Salmon_fry_S,Eulachon,0.514541686,22,25,Salmon_fry_S:Eulachon,22:25
0.330918789,Nshore_demersal,Sunflower_stars,0.22527872,23,34,Nshore_demersal:Sunflower_stars,23:34
0.340343356,Salmon_fry_S,Nshore_demersal,0.324060142,22,23,Salmon_fry_S:Nshore_demersal,22:23
0.342247814,Arrowtooth_S,Nshore_demersal,0.109388456,13,23,Arrowtooth_S:Nshore_demersal,13:23
0.343583465,Capelin,Herring_L,0.992598057,28,29,Capelin:Herring_L,28:29
0.348015368,Capelin,Pollock_S,0.95426929,28,30,Capelin:Pollock_S,28:30
0.355818272,Pollock_L,Capelin,0.552350223,19,28,Pollock_L:Capelin,19:28
0.39631474,Snail_crust_S,Mussels,0.948953867,48,49,Snail_crust_S:Mussels,48:49
0.40007484,Urchins,Helmet_crab,0.156062528,38,39,Urchins:Helmet_crab,38:39
0.413573027,Pacific_cod,Sablefish,0.375651181,11,12,Pacific_cod:Sablefish,11:12
0.417103767,Helmet_crab,Shallow_infauna_clams,0.947923899,39,51,Helmet_crab:Shallow_infauna_clams,39:51
0.418366075,Deep_demersals,Nshore_demersal,0.103431225,18,23,Deep_demersals:Nshore_demersal,18:23
0.422656536,Herring_L,Herring_S,0.86424911,29,40,Herring_L:Herring_S,29:40
0.427089781,Zoopl_near_onmiv,Zoop_omniv,0.108252585,43,44,Zoopl_near_onmiv:Zoop_omniv,43:44
0.427189201,Rockfish,Nshore_demersal,0.172152624,20,23,Rockfish:Nshore_demersal,20:23
0.443650216,Cucumbers,Snail_crust_S,0.895140469,37,48,Cucumbers:Snail_crust_S,37:48
0.445431858,Octopods,Nshore_demersal,0.418739557,16,23,Octopods:Nshore_demersal,16:23
0.463430792,Spiny_dogfish,Rockfish,0.701534212,14,20,Spiny_dogfish:Rockfish,14:20
0.511156678,Salmon_fry_S,Pisaster_Evasterias,0.149409771,22,35,Salmon_fry_S:Pisaster_Evasterias,22:35
0.516008437,Salmon_fry_S,Leather_stars,0.274543464,22,36,Salmon_fry_S:Leather_stars,22:36
0.548057675,Sablefish,Rockfish,0.297846645,12,20,Sablefish:Rockfish,12:20
0.552307129,Herring_S,Jellies,0.945091784,40,41,Herring_S:Jellies,40:41
0.560092211,Salmon_fry_S,Herring_S,0.726829946,22,40,Salmon_fry_S:Herring_S,22:40
0.589820743,Arrowtooth_S,Rockfish,0.792751551,13,20,Arrowtooth_S:Rockfish,13:20
0.593164086,Herring_L,Pollock_S,0.965592802,29,30,Herring_L:Pollock_S,29:30
0.601961732,Zoop_omniv,Zoopl_herb,0.91433239,44,53,Zoop_omniv:Zoopl_herb,44:53
0.610181212,Deep_demersals,Rockfish,0.370944947,18,20,Deep_demersals:Rockfish,18:20
0.610387266,Deep_infauna_S,Meiofauna,0.665780187,42,46,Deep_infauna_S:Meiofauna,42:46
0.630473256,Lingcod,Rockfish,0.284854323,8,20,Lingcod:Rockfish,8:20
0.636792719,Cucumbers,Mussels,0.93735379,37,49,Cucumbers:Mussels,37:49
0.655515552,Meiofauna,Deep_infauna_L,0.648564935,46,47,Meiofauna:Deep_infauna_L,46:47
0.658005536,Cucumbers,Barnacles,0.743199885,37,50,Cucumbers:Barnacles,37:50
0.6643278,Deep_epibenthos,Meiofauna,0.291704118,27,46,Deep_epibenthos:Meiofauna,27:46
0.72493434,Nshore_demersal,Herring_L,0.14651069,23,29,Nshore_demersal:Herring_L,23:29
0.744320571,Lingcod,Arrowtooth_S,0.284636945,8,13,Lingcod:Arrowtooth_S,8:13
0.755264044,Lingcod,Deep_demersals,0.199382275,8,18,Lingcod:Deep_demersals,8:18
0.776273966,Pollock_L,Herring_L,0.503259838,19,29,Pollock_L:Herring_L,19:29
0.783087552,Eulachon,Jellies,0.291176319,25,41,Eulachon:Jellies,25:41
0.789688587,Sandlance,Jellies,0.986124039,33,41,Sandlance:Jellies,33:41
0.792390823,Capelin,Jellies,0.943620861,28,41,Capelin:Jellies,28:41
0.806282282,Octopods,Pollock_L,0.466375977,16,19,Octopods:Pollock_L,16:19
0.818830729,Capelin,Herring_S,0.835273921,28,40,Capelin:Herring_S,28:40
0.820217967,Pollock_L,Pollock_S,0.380906403,19,30,Pollock_L:Pollock_S,19:30
0.828315139,Sandlance,Herring_S,0.968907773,33,40,Sandlance:Herring_S,33:40
0.858165145,Sablefish,Spiny_dogfish,0.420616567,12,14,Sablefish:Spiny_dogfish,12:14
0.862694144,Deep_infauna_S,Deep_infauna_L,0.983298361,42,47,Deep_infauna_S:Deep_infauna_L,42:47
0.866096079,Arrowtooth_S,Deep_demersals,0.41618076,13,18,Arrowtooth_S:Deep_demersals,13:18
0.872101188,Deep_epibenthos,Deep_infauna_S,0.425748616,27,42,Deep_epibenthos:Deep_infauna_S,27:42
0.874474823,Leather_stars,Helmet_crab,0.281434387,36,39,Leather_stars:Helmet_crab,36:39
