Predator_overlap,Halibut: Arrowtooth_L,Halibut: Pacific_cod,Halibut: Arrowtooth_S,Halibut: Octopods,Halibut: Deep_demersals,Pinnipeds: Porpoise,Lingcod: Arrowtooth_S,Lingcod: Deep_demersals,Lingcod: Rockfish,Arrowtooth_L: Pacific_cod,Arrowtooth_L: Octopods,Pacific_cod: Sablefish,Pacific_cod: Deep_demersals,Pacific_cod: Pollock_L,Pacific_cod: Rockfish,Pacific_cod: Nshore_demersal,Sablefish: Spiny_dogfish,Sablefish: Rockfish,Arrowtooth_S: Octopods,Arrowtooth_S: Deep_demersals,Arrowtooth_S: Rockfish,Arrowtooth_S: Nshore_demersal,Spiny_dogfish: Rockfish,Octopods: Deep_demersals,Octopods: Pollock_L,Octopods: Nshore_demersal,Seabirds: Oystercatchers,Deep_demersals: Pollock_L,Deep_demersals: Rockfish,Deep_demersals: Nshore_demersal,Pollock_L: Salmon_fry_S,Pollock_L: Nshore_demersal,Pollock_L: Eulachon,Pollock_L: Capelin,Pollock_L: Herring_L,Pollock_L: Pollock_S,Pollock_L: Sandlance,Pollock_L: Herring_S,Rockfish: Nshore_demersal,Rockfish: Eulachon,Rockfish: Capelin,Rockfish: Herring_L,Salmon_fry_S: Nshore_demersal,Salmon_fry_S: Eulachon,Salmon_fry_S: Capelin,Salmon_fry_S: Herring_L,Salmon_fry_S: Sandlance,Salmon_fry_S: Pisaster_Evasterias,Salmon_fry_S: Leather_stars,Salmon_fry_S: Helmet_crab,Salmon_fry_S: Herring_S,Salmon_fry_S: Zoopl_near_onmiv,Nshore_demersal: Herring_L,Nshore_demersal: Sandlance,Nshore_demersal: Sunflower_stars,Nshore_demersal: Pisaster_Evasterias,Nshore_demersal: Leather_stars,Nshore_demersal: Helmet_crab,Squids: Deep_infauna_S,Eulachon: Capelin,Eulachon: Herring_L,Eulachon: Pollock_S,Eulachon: Sandlance,Eulachon: Jellies,Sea_otters: Invert_eat_seaduck,Deep_epibenthos: Deep_infauna_S,Deep_epibenthos: Meiofauna,Deep_epibenthos: Deep_infauna_L,Capelin: Herring_L,Capelin: Pollock_S,Capelin: Sandlance,Capelin: Herring_S,Capelin: Jellies,Capelin: Zoopl_near_onmiv,Herring_L: Pollock_S,Herring_L: Sandlance,Herring_L: Herring_S,Herring_L: Zoopl_near_onmiv,Pollock_S: Herring_S,Sandlance: Herring_S,Sandlance: Jellies,Sandlance: Zoopl_near_onmiv,Sunflower_stars: Pisaster_Evasterias,Sunflower_stars: Leather_stars,Pisaster_Evasterias: Leather_stars,Pisaster_Evasterias: Helmet_crab,Leather_stars: Helmet_crab,Cucumbers: Snail_crust_S,Cucumbers: Mussels,Cucumbers: Barnacles,Cucumbers: Shallow_infauna_clams,Urchins: Helmet_crab,Urchins: Mussels,Urchins: Shallow_infauna_clams,Helmet_crab: Snail_crust_S,Helmet_crab: Shallow_infauna_clams,Herring_S: Jellies,Herring_S: Zoopl_near_onmiv,Deep_infauna_S: Meiofauna,Deep_infauna_S: Deep_infauna_L,Zoop_omniv: Zoopl_herb,Meiofauna: Deep_infauna_L,Snail_crust_S: Mussels,Snail_crust_S: Barnacles,Snail_crust_S: Zoopl_near_herb,Mussels: Barnacles,Mussels: Shallow_infauna_clams,Mussels: Zoopl_near_herb,Barnacles: Zoopl_near_herb
0.110446461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765093565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.113550715,,,,,,,,,,,,,0.625684738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118688397,,,,,,,,,,,,,,,,,,,0.501044035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119471028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93750006,,,,,,,,,,,,,,,,,,
0.124973819,,,,,,,,,,,,,,,,0.342975229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.145477369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327227294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.149059489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326972425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150386468,,,,,,,,,,,0.180229783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.152207762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15933083,,,,,,,,,,,,,,,,
0.164954767,,,,,,,,,,,,,,0.547699153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.168215886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247589767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170645759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501792133
0.171019197,,,,,,,,,,,,,,,0.530674517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
