Predator_overlap,Group1,Group2,Prey_overlap,Node1,Node2,Group,Nodes
0.110446461,Rockfish,Eulachon,0.765093565,20,25,Rockfish:Eulachon,20:25
0.113550715,Pacific_cod,Deep_demersals,0.625684738,11,18,Pacific_cod:Deep_demersals,11:18
0.118688397,Arrowtooth_S,Octopods,0.501044035,13,16,Arrowtooth_S:Octopods,13:16
0.119471028,Cucumbers,Shallow_infauna_clams,0.93750006,37,51,Cucumbers:Shallow_infauna_clams,37:51
0.124973819,Pacific_cod,Nshore_demersal,0.342975229,11,23,Pacific_cod:Nshore_demersal,11:23
0.145477369,Eulachon,Pollock_S,0.327227294,25,30,Eulachon:Pollock_S,25:30
0.149059489,Pollock_L,Sandlance,0.326972425,19,33,Pollock_L:Sandlance,19:33
0.150386468,Arrowtooth_L,Octopods,0.180229783,9,16,Arrowtooth_L:Octopods,9:16
0.152207762,Urchins,Mussels,0.15933083,38,49,Urchins:Mussels,38:49
0.164954767,Pacific_cod,Pollock_L,0.547699153,11,19,Pacific_cod:Pollock_L,11:19
0.168215886,Capelin,Zoopl_near_onmiv,0.247589767,28,43,Capelin:Zoopl_near_onmiv,28:43
0.170645759,Barnacles,Zoopl_near_herb,0.501792133,50,52,Barnacles:Zoopl_near_herb,50:52
0.171019197,Pacific_cod,Rockfish,0.530674517,11,20,Pacific_cod:Rockfish,11:20
0.173274621,Rockfish,Capelin,0.484526545,20,28,Rockfish:Capelin,20:28
0.175700545,Herring_L,Zoopl_near_onmiv,0.260708869,29,43,Herring_L:Zoopl_near_onmiv,29:43
0.177226052,Halibut,Pacific_cod,0.50375253,5,11,Halibut:Pacific_cod,5:11
0.184939191,Octopods,Deep_demersals,0.688349247,16,18,Octopods:Deep_demersals,16:18
0.188771188,Rockfish,Herring_L,0.438422531,20,29,Rockfish:Herring_L,20:29
0.193281516,Pollock_L,Salmon_fry_S,0.526159823,19,22,Pollock_L:Salmon_fry_S,19:22
0.213769972,Halibut,Deep_demersals,0.216343939,5,18,Halibut:Deep_demersals,5:18
0.21997717,Salmon_fry_S,Zoopl_near_onmiv,0.220484063,22,43,Salmon_fry_S:Zoopl_near_onmiv,22:43
0.220966741,Halibut,Octopods,0.273488134,5,16,Halibut:Octopods,5:16
0.221604615,Arrowtooth_L,Pacific_cod,0.305549592,9,11,Arrowtooth_L:Pacific_cod,9:11
0.224196672,Arrowtooth_S,Nshore_demersal,0.102830611,13,23,Arrowtooth_S:Nshore_demersal,13:23
0.236897171,Salmon_fry_S,Helmet_crab,0.118822306,22,39,Salmon_fry_S:Helmet_crab,22:39
0.23895593,Pollock_S,Herring_S,0.956284165,30,40,Pollock_S:Herring_S,30:40
0.240767747,Snail_crust_S,Barnacles,0.863740802,48,50,Snail_crust_S:Barnacles,48:50
0.24856104,Mussels,Zoopl_near_herb,0.120481923,49,52,Mussels:Zoopl_near_herb,49:52
0.252887249,Sandlance,Zoopl_near_onmiv,0.300202519,33,43,Sandlance:Zoopl_near_onmiv,33:43
0.253873467,Salmon_fry_S,Leather_stars,0.2705383,22,36,Salmon_fry_S:Leather_stars,22:36
0.254217654,Salmon_fry_S,Pisaster_Evasterias,0.105612978,22,35,Salmon_fry_S:Pisaster_Evasterias,22:35
0.270847112,Snail_crust_S,Zoopl_near_herb,0.115207367,48,52,Snail_crust_S:Zoopl_near_herb,48:52
0.281595707,Herring_S,Zoopl_near_onmiv,0.30943656,40,43,Herring_S:Zoopl_near_onmiv,40:43
0.303192616,Salmon_fry_S,Capelin,0.907117546,22,28,Salmon_fry_S:Capelin,22:28
0.303669482,Deep_demersals,Pollock_L,0.350128025,18,19,Deep_demersals:Pollock_L,18:19
0.317592472,Mussels,Shallow_infauna_clams,0.996415794,49,51,Mussels:Shallow_infauna_clams,49:51
0.336787939,Deep_demersals,Nshore_demersal,0.111510977,18,23,Deep_demersals:Nshore_demersal,18:23
0.351124316,Rockfish,Nshore_demersal,0.167540461,20,23,Rockfish:Nshore_demersal,20:23
0.355412483,Arrowtooth_S,Rockfish,0.751263559,13,20,Arrowtooth_S:Rockfish,13:20
0.356667548,Pollock_L,Eulachon,0.759672821,19,25,Pollock_L:Eulachon,19:25
0.357338816,Snail_crust_S,Mussels,0.943935931,48,49,Snail_crust_S:Mussels,48:49
0.376165837,Salmon_fry_S,Sandlance,0.845144868,22,33,Salmon_fry_S:Sandlance,22:33
0.392222464,Helmet_crab,Shallow_infauna_clams,0.904942989,39,51,Helmet_crab:Shallow_infauna_clams,39:51
0.394051015,Nshore_demersal,Sandlance,0.108779065,23,33,Nshore_demersal:Sandlance,23:33
0.394118845,Urchins,Helmet_crab,0.151482373,38,39,Urchins:Helmet_crab,38:39
0.397642612,Herring_S,Jellies,0.940944791,40,41,Herring_S:Jellies,40:41
0.40044418,Pacific_cod,Sablefish,0.356836736,11,12,Pacific_cod:Sablefish,11:12
0.40078482,Cucumbers,Snail_crust_S,0.887749076,37,48,Cucumbers:Snail_crust_S,37:48
0.40559122,Pollock_L,Herring_S,0.198849037,19,40,Pollock_L:Herring_S,19:40
0.405929089,Nshore_demersal,Helmet_crab,0.386260182,23,39,Nshore_demersal:Helmet_crab,23:39
0.408418506,Eulachon,Herring_L,0.50519079,25,29,Eulachon:Herring_L,25:29
0.40959233,Nshore_demersal,Leather_stars,0.940174997,23,36,Nshore_demersal:Leather_stars,23:36
0.41319707,Herring_L,Sandlance,0.954756737,29,33,Herring_L:Sandlance,29:33
0.422731221,Nshore_demersal,Pisaster_Evasterias,0.319426119,23,35,Nshore_demersal:Pisaster_Evasterias,23:35
0.424328864,Octopods,Nshore_demersal,0.400163174,16,23,Octopods:Nshore_demersal,16:23
0.425634205,Salmon_fry_S,Herring_L,0.93136704,22,29,Salmon_fry_S:Herring_L,22:29
0.440904498,Salmon_fry_S,Nshore_demersal,0.324165016,22,23,Salmon_fry_S:Nshore_demersal,22:23
0.443453103,Lingcod,Arrowtooth_S,0.260498524,8,13,Lingcod:Arrowtooth_S,8:13
0.443868786,Spiny_dogfish,Rockfish,0.581562817,14,20,Spiny_dogfish:Rockfish,14:20
0.464992881,Helmet_crab,Snail_crust_S,0.898018181,39,48,Helmet_crab:Snail_crust_S,39:48
0.471521974,Nshore_demersal,Sunflower_stars,0.154356375,23,34,Nshore_demersal:Sunflower_stars,23:34
0.479511738,Salmon_fry_S,Eulachon,0.529592454,22,25,Salmon_fry_S:Eulachon,22:25
0.510144651,Halibut,Arrowtooth_S,0.365439504,5,13,Halibut:Arrowtooth_S,5:13
0.511048913,Deep_demersals,Rockfish,0.360434711,18,20,Deep_demersals:Rockfish,18:20
0.516931176,Capelin,Pollock_S,0.952531815,28,30,Capelin:Pollock_S,28:30
0.536566436,Capelin,Jellies,0.940370083,28,41,Capelin:Jellies,28:41
0.540185988,Sandlance,Jellies,0.984907866,33,41,Sandlance:Jellies,33:41
0.546106756,Sablefish,Rockfish,0.321715087,12,20,Sablefish:Rockfish,12:20
0.556927204,Herring_L,Pollock_S,0.964024246,29,30,Herring_L:Pollock_S,29:30
0.560680211,Pollock_L,Nshore_demersal,0.100413799,19,23,Pollock_L:Nshore_demersal,19:23
0.585289836,Eulachon,Jellies,0.305734009,25,41,Eulachon:Jellies,25:41
