Data,Month,Year,FIB index,Total catch,Kemptons Q,TL of catch,FCI,Catch PPR,Catch detritus required,Loss of production (relative),Psust,SOI,Ascendency on flow
1,1,1989,0.452361196,1,0.998886347,2.886898994,11.98839378,2.55099082,3.346219063,1,1,0.178853706,25.40966034
2,2,1989,0.337809771,0.942629993,0.997682333,2.87462163,11.32935047,2.842867851,3.507749796,1.05784905,0.923949122,0.177825347,25.37738419
3,3,1989,0.370248735,1.477851033,0.99510473,2.631682158,14.16347599,1.823520303,3.347255468,1.109871864,0.863100231,0.18334496,25.63744164
4,4,1989,0.631927371,2.932214022,0.995982826,2.420710802,12.8032856,2.227489948,3.594538212,1.296191812,0.697150111,0.181491703,25.30047226
5,5,1989,0.116279632,0.962215245,0.995979965,2.731559038,11.41856956,2.755899429,3.344887495,1.157548428,0.813270032,0.17851074,25.18087578
6,6,1989,0.022903483,0.793434918,0.994719088,2.811877966,10.60827255,3.13417697,3.488250971,1.07019186,0.908879995,0.176995918,25.32512474
7,7,1989,0.030789586,0.87883848,0.992682457,2.756136179,10.8507452,3.141890287,3.750613689,1.285913944,0.704434097,0.177945152,25.58574677
8,8,1989,0.751509905,3.683625221,0.991161287,2.393422365,11.95622063,2.791183233,4.36000967,1.779417515,0.491838247,0.180507779,25.84468842
9,9,1989,0.956800401,5.5448699,0.990457773,2.335531712,11.05273438,3.635141611,5.163348675,2.294806004,0.294650912,0.179052025,25.51076126
10,10,1989,0.873606443,5.024176598,0.988778234,2.338009834,11.39070129,3.424464941,5.483561039,2.678687572,0.102277249,0.180051059,25.60534286
11,11,1989,0.981075764,6.066347599,0.987563431,2.317872286,12.02874374,3.329848528,5.797864437,3.057253599,-0.010809692,0.181742013,25.69740677
12,12,1989,0.987135291,6.268224239,0.986977041,2.305422068,12.08590889,3.351397514,5.977156162,3.309957027,-0.007226035,0.182130903,25.56225777
13,1,1990,0.885690212,5.332374096,0.986630857,2.30281353,12.12794018,3.126194477,5.732857227,3.240483046,-0.013073891,0.182324097,25.47219658
14,2,1990,0.808213711,4.654251575,0.986568213,2.304290533,12.04165077,3.08225894,5.706110477,3.348212004,-0.00335313,0.18218857,25.4213829
15,3,1990,0.760501742,4.152385235,0.985904396,2.317976236,13.27854729,2.544628143,5.411911011,3.371618509,-0.000968703,0.184646338,25.62971497
16,4,1990,0.764582336,4.040273666,0.985079408,2.330504656,14.96359825,1.968644261,4.934433937,3.201144934,-0.015126416,0.188133165,25.27441025
17,5,1990,0.574232161,2.600534678,0.98780632,2.360426664,13.21045017,2.571256638,4.561611176,2.914911032,0.015242917,0.184799701,25.05354691
18,6,1990,0.348943383,1.27155447,0.98879981,2.551634073,13.29205132,2.350924492,4.109018326,2.601112604,0.139193505,0.184135288,25.19766617
19,7,1990,0.338608652,1.099582791,0.990161657,2.634949207,12.48553753,2.627343416,4.091463566,2.331494808,0.276554525,0.18247512,25.16464615
20,8,1990,0.35026446,1.017788649,0.990464091,2.698200226,12.59152126,2.578734398,4.062916279,2.156424522,0.358496934,0.182458833,25.29977798
21,9,1990,0.505271196,1.574097157,0.990227997,2.552899122,13.29839325,2.365696907,3.92835331,2.025985956,0.41088599,0.18404521,25.4336834
22,10,1990,0.634447277,2.080295086,0.990610242,2.481324196,12.72906017,2.6065166,3.875303507,1.901334047,0.454026669,0.182998702,25.24846649
23,11,1990,0.602676094,1.852840066,0.990401447,2.52248764,12.52774048,2.607945681,3.819467783,1.789674401,0.48873812,0.182504684,25.23764229
24,12,1990,0.67145896,2.100707293,0.990062773,2.498515129,11.91713715,2.868417263,3.831831455,1.726353407,0.507883906,0.181235269,25.22469139
25,1,1991,0.738179684,2.391306877,0.989148915,2.492425203,11.85252857,2.616631985,3.707762718,1.560575724,0.562373698,0.181130767,25.31844902
26,2,1991,0.897617638,3.5787642,0.988184512,2.421467304,12.63030148,2.36875391,3.888913393,1.620524168,0.54134196,0.183043301,25.47752953
27,3,1991,0.990972757,4.476931572,0.987568438,2.387992382,13.20203876,2.232181787,3.979609251,1.681754231,0.521606147,0.184618294,25.37142181
28,4,1991,0.962888181,4.169605255,0.986737549,2.397679329,13.99941826,1.845445514,3.700833321,1.611924171,0.544236422,0.186629847,25.26085091
29,5,1991,0.88588655,3.348224878,0.988121212,2.405738592,11.26284695,2.550877571,3.627096653,1.509569287,0.582214296,0.180403247,24.9342556
30,6,1991,0.723297358,1.408215284,0.986563861,2.687501192,13.11458778,1.5217067,2.984721661,1.325550079,0.677380085,0.183963284,25.39886475
