parameter,value
"Total consumption",6734.687
"Sum of all exports",1155.969
"Sum of all respiratory flows",2401.658
"Sum of all flows into detritus",3877.141
"Total system throughput",14169.46
"Sum of all production",5231.642
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006521182
"Calculated total net primary production",3501.849
"Total primary production/total respiration",1.458096
"Net system production",1100.191
"Total primary production/total biomass",8.155728
"Total biomass/total throughput",0.03030271
"Total biomass (excluding detritus)",429.3729
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004443
"Total market value",2.14144
"Total shadow value",0.07718563
"Total value",2.218626
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5054742
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.041564
