GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009874251,0.04957687,6.016158,0,0.00824062,0,0,0,0,0.04957687,1
2,Salmon_sharks,0.2220746,0.09814312,5.926356,0.5263941,0.01656045,0.05166196,0,0,0,0.04648115,0.4736059
3,Resident_orca,0.01487571,0.05053768,8.585827,0,0.005886175,0,0,0,0,0.05053768,1
4,Sleeper_sharks,0.1087776,0.0702687,3.671012,0,0.0191415,0,0,0,0,0.0702687,1
5,Halibut,0.6839194,0.3269376,1.701307,0.2434074,0.1921685,0.02506805,0.05451099,0,0,0.2473586,0.9233247
6,Pinnipeds,0.0716406,0.05877915,25.66695,0.8189188,0.002290071,0.009209541,0.03892581,0,0,0.0106438,0.8433196
7,Porpoise,0.01459957,0.1492371,29.53205,0.937072,0.005053396,0.0002758931,0.13957,0,0,0.009391198,0.9981513
8,Lingcod,0.07787037,0.5804386,3.287797,0.8466889,0.1765433,0.02039864,0.4710523,0,0,0.08898767,0.9648565
9,Arrowtooth_L,3.950095,0.2562054,1.45876,0.1334118,0.1756323,0.000369584,0.03381123,0,0,0.2220246,0.9985574
10,Salmon_L,3.500611,1.549782,11.95929,0.6584965,0.1295881,0.5311987,0.489327,0,0,0.5292559,0.6572429
11,Pacific_cod,0.3097777,1.221473,4.061067,0.6484066,0.3007763,0.2141933,0.5778176,0,0,0.4294616,0.8246434
12,Sablefish,0.4723679,0.573347,6.357594,0.8571739,0.09018301,0.03960961,0.4518485,0,0,0.08188894,0.9309151
13,Arrowtooth_S,0.245057,0.2193365,3.29849,0.9271302,0.06649603,0,0.2033535,0,0,0.015983,1
14,Spiny_dogfish,0.1626531,0.09103426,3.088519,0.7211618,0.02947505,0,0.06565043,0,0,0.02538383,1
15,Avian_raptors,0.003327363,0.05004337,36.51959,0,0.001370316,0,0,0,0,0.05004337,1
16,Octopods,0.1586853,3.104933,11.76863,0.9421322,0.2638314,0.001456262,2.923801,0,0,0.1796757,0.999531
17,Seabirds,0.02267495,0.1709294,152.3204,0.6564471,0.00112217,0,0.1122061,0,0,0.05872329,1
18,Deep_demersals,1.025,1.006701,3.235296,0.9233938,0.3111619,0.002635976,0.9269453,0,0,0.07711948,0.9973816
19,Pollock_L,4.996013,1.292767,2.662517,0.5677032,0.4855434,0.03261481,0.7012932,0,0,0.5588592,0.9747713
20,Rockfish,1.051342,0.3056092,3.457663,0.7550751,0.08838605,0.01303956,0.2177183,0,0,0.0748513,0.9573326
21,Baleen_whales,0.1494964,0.05044334,10.76599,0.07503064,0.004685434,0,0.003784796,0,0,0.04665855,1
22,Salmon_fry_S,0.8377195,2.216026,27.25634,0.1624047,0.08130315,0,0.3598931,0,0,1.856133,1
23,Nshore_demersal,4.216643,1.005445,4.135265,0.7913533,0.2431391,3.810856E-05,0.795624,0,0,0.2097828,0.9999621
24,Squids,3.018642,2.894876,15.3382,0.9377788,0.1887363,3.88269E-05,2.714715,0,0,0.1801228,0.9999866
25,Eulachon,1.134487,2.488091,17.89613,0.6692705,0.1390295,0.0001151652,1.665091,0,0,0.822885,0.9999537
26,Sea_otters,0.04118622,0.1324739,119.0814,0.005217682,0.001112465,4.310276E-06,0.0006868964,0,0,0.1317827,0.9999675
27,Deep_epibenthos,29.07107,2.938036,9.977535,0.9614802,0.2944651,0.000160806,2.824703,0,0,0.1131726,0.9999453
28,Capelin,0.4491161,3.504475,18.21821,0.5602588,0.1923611,0.0001429272,1.96327,0,0,1.541062,0.9999592
29,Herring_L,3.044462,0.3929137,3.430705,0.9527823,0.1145286,0.000346436,0.3740148,0,0,0.01855247,0.9991183
30,Pollock_S,0.612449,2.319098,7.48493,0.3988149,0.3098357,0,0.9248911,0,0,1.394207,1
31,Invert_eat_seaduck,0.0002733803,0.1944038,148.2498,0.7362501,0.001311325,0,0.1431298,0,0,0.05127397,1
32,Oystercatchers,0.0002974396,0.2989019,150.6745,0.9567689,0.001983759,0,0.2859801,0,0,0.01292187,1
33,Sandlance,0.578451,1.989946,17.96844,0.7767308,0.1107467,0,1.545652,0,0,0.4442935,1
34,Sunflower_stars,0.3582954,2.019541,9.720331,0.9662479,0.2077647,0,1.951378,0,0,0.06816372,1
35,Pisaster_Evasterias,0.9904371,2.038938,10.16466,0.5803522,0.2005908,0,1.183302,0,0,0.8556356,1
36,Leather_stars,1.004096,2.070627,9.981469,0.5165177,0.2074471,0,1.069515,0,0,1.001112,1
37,Cucumbers,0.5438819,0.5936362,3.295246,0.7300993,0.1801493,1.380814E-07,0.4334132,0,0,0.1602228,0.9999998
38,Urchins,0.6135805,0.5867665,2.754988,0.7624004,0.2129833,3.161769E-07,0.4473507,0,0,0.1394155,0.9999995
39,Helmet_crab,0.8055541,1.971747,9.778113,0.9109749,0.201649,0,1.796212,0,0,0.175535,1
40,Herring_S,1.854523,1.393159,7.863285,0.8841566,0.1771727,0,1.231771,0,0,0.1613882,1
41,Jellies,6.398358,4.883758,29.89545,0.0592057,0.1633613,0,0.2891463,0,0,4.594612,1
