GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001,0.05,6.035,0,0.008285005,0,0,0,0,0.05,1
2,Salmon_sharks,0.221,0.1,6,0.5191317,0.01666667,0.05191317,0,0,0,0.04808683,0.4808683
3,Resident_orca,0.015,0.05,8.667,0,0.005769009,0,0,0,0,0.05,1
4,Sleeper_sharks,0.1104,0.07,3.65,0,0.01917808,0,0,0,0,0.07,1
5,Halibut,0.677,0.32,1.73,0.2496198,0.1849711,0.02532426,0.05455409,0,0,0.2401216,0.9208617
6,Pinnipeds,0.072,0.06,25.55,0.8085197,0.002348337,0.009163571,0.03934761,0,0,0.01148882,0.8472738
7,Porpoise,0.015,0.15,29.2,0.9218236,0.005136986,0.000268528,0.138005,0,0,0.01172647,0.9982098
8,Lingcod,0.077,0.58,3.3,0.8329078,0.1757576,0.02062922,0.4624573,0,0,0.09691348,0.9644324
9,Arrowtooth_L,3.896166,0.2558717,1.454803,0.1366441,0.1758806,0.0003746997,0.03458865,0,0,0.2209083,0.9985356
10,Salmon_L,3.446364,1.549286,11.89418,0.6710396,0.1302558,0.53956,0.5000723,0,0,0.5096537,0.6517364
11,Pacific_cod,0.3,1.2,4,0.6854835,0.3,0.2211743,0.6014058,0,0,0.3774199,0.8156881
12,Sablefish,0.48,0.566,6.42,0.8616003,0.08816199,0.03897981,0.448686,0,0,0.0783342,0.9311311
13,Arrowtooth_S,0.2404695,0.2153081,3.288257,0.9346901,0.06547787,0,0.2012463,0,0,0.01406174,1
14,Spiny_dogfish,0.16,0.09,3,0.7471265,0.03,0,0.06724139,0,0,0.02275862,1
15,Avian_raptors,0.003304,0.05,36.5,0,0.001369863,0,0,0,0,0.05,1
16,Octopods,0.1551313,3.1,11.7,0.95,0.2649572,0.001489625,2.943511,0,0,0.155,0.9995195
17,Seabirds,0.022,0.17,150,0.6755016,0.001133333,0,0.1148353,0,0,0.05516473,1
18,Deep_demersals,1,1,3.21,0.9360811,0.3115265,0.002701875,0.9333792,0,0,0.06391895,0.9972981
19,Pollock_L,4.956714,1.289113,2.669485,0.569676,0.482907,0.0328734,0.7015033,0,0,0.5547362,0.9744992
20,Rockfish,1.05,0.3,3.44,0.7625695,0.08720931,0.01305623,0.2157146,0,0,0.07122914,0.9564793
21,Baleen_whales,0.149,0.05,10.9,0.07715619,0.004587156,0,0.00385781,0,0,0.04614219,1
22,Salmon_fry_S,0.8193662,2.197484,27.07559,0.1634412,0.0811611,0,0.3591595,0,0,1.838325,1
23,Nshore_demersal,4.2,1,4.24,0.7878663,0.2358491,3.825957E-05,0.787828,0,0,0.2121337,0.9999617
24,Squids,3,3,15,0.9313403,0.2,3.906817E-05,2.793982,0,0,0.205979,0.999987
25,Eulachon,1.1,2.5,18,0.6776422,0.1388889,0.0001187758,1.693987,0,0,0.8058946,0.9999525
26,Sea_otters,0.04160305,0.13,117,0.00534691,0.001111111,4.26709E-06,0.0006908312,0,0,0.1293049,0.9999672
27,Deep_epibenthos,30,3,10,0.9395436,0.3,0.0001558267,2.818475,0,0,0.1813692,0.9999481
28,Capelin,0.45,3.5,18,0.5483758,0.1944444,0.0001426464,1.919173,0,0,1.580685,0.9999592
29,Herring_L,2.978019,0.3932024,3.395166,0.9589593,0.1158124,0.0003541654,0.3767109,0,0,0.01613731,0.9990993
30,Pollock_S,0.6067062,2.331992,7.519854,0.39373,0.3101114,0,0.9181753,0,0,1.413817,1
31,Invert_eat_seaduck,0.000274,0.2,150,0.7253883,0.001333333,0,0.1450777,0,0,0.05492234,1
32,Oystercatchers,0.000304,0.3,150,0.9256495,0.002,0,0.2776949,0,0,0.02230514,1
33,Sandlance,0.595,2,18,0.741787,0.1111111,0,1.483574,0,0,0.5164261,1
34,Sunflower_stars,0.3683666,2,10,0.95,0.2,0,1.9,0,0,0.1,1
35,Pisaster_Evasterias,1,2,10,0.5878186,0.2,0,1.175637,0,0,0.8243629,1
36,Leather_stars,1,2,10,0.539143,0.2,0,1.078286,0,0,0.9217141,1
37,Cucumbers,0.5263038,0.6,3.36,0.75,0.1785714,1.426932E-07,0.4499999,0,0,0.15,0.9999998
38,Urchins,0.6056079,0.6,2.81,0.75,0.2135231,3.203393E-07,0.4499997,0,0,0.15,0.9999995
39,Helmet_crab,0.8049692,2,10,0.8999999,0.2,0,1.8,0,0,0.2000002,1
40,Herring_S,1.941262,1.446274,7.887429,0.8019651,0.1833645,0,1.159862,0,0,0.2864127,1
41,Jellies,6.39,5,29.41,0.05673118,0.1700102,0,0.2836559,0,0,4.716344,1
42,Deep_infauna_S,49.4,3,23,0.9169282,0.1304348,0,2.750785,0,0,0.2492155,1
