parameter,value
"Total consumption",6768.124
"Sum of all exports",1138.304
"Sum of all respiratory flows",2421.652
"Sum of all flows into detritus",3878.674
"Total system throughput",14206.75
"Sum of all production",5234.576
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006515569
"Calculated total net primary production",3504.866
"Total primary production/total respiration",1.447303
"Net system production",1083.213
"Total primary production/total biomass",8.149438
"Total biomass/total throughput",0.03027254
"Total biomass (excluding detritus)",430.0745
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002673
"Total market value",2.14144
"Total shadow value",0.07098264
"Total value",2.212423
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992713
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032677
