"","Species","Total_Score","Major_Shifts"
"1","Seabirds",0.22021911,"II (0.053), III (0.056), IV (-0.099), V (-0.011)"
"2","Baleen_whales",0.18789138,"III (0.094), IV (-0.089)"
"3","Arrowtooth_S",0.1477989,"III (0.065), IV (-0.074)"
"4","Spiny_dogfish",0.14049799,"III (0.067), IV (-0.053), V (-0.016)"
"5","Lingcod",0.13652391,"III (0.068), IV (-0.047), V (-0.019)"
"6","Octopods",0.13012807,"III (0.062), IV (-0.051), V (-0.013)"
"7","Deep_demersals",0.12660135,"II (0.015), III (0.048), IV (-0.043), V (-0.018)"
"8","Arrowtooth_L",0.0887806799999999,"III (0.044), IV (-0.02), V (-0.023)"
"9","Sea_otters",0.08117914,"III (0.041), IV (-0.036)"
"10","Sablefish",0.08031476,"II (0.024), III (0.016), IV (-0.029), V (-0.011)"
"11","Pollock_L",0.07694886,"III (0.037), IV (-0.039)"
"12","Avian_raptors",0.07406948,"II (0.031), IV (-0.02), V (-0.015)"
"13","Sleeper_sharks",0.07093781,"II (0.018), IV (0.015), V (-0.022), VI (-0.013)"
"14","Pacific_cod",0.06559351,"III (0.029), IV (-0.025)"
"15","Salmon_sharks",0.0655862,"III (0.022), V (-0.032)"
"16","Nshore_demersal",0.0643943799999999,"III (0.032), IV (-0.03)"
"17","Transient_orca",0.06243112,"IV (0.015), V (0.015), VI (-0.018), VII (-0.012)"
"18","Resident_orca",0.05769537,"III (0.011), IV (0.012), V (-0.029)"
"19","Halibut",0.0550990000000001,"III (0.021), V (-0.02)"
"20","Rockfish",0.05254958,"III (0.023), IV (-0.026)"
"21","Salmon_L",0.048998,"IV (-0.022), V (0.024)"
"22","Salmon_fry_S",0.0475033400000001,"III (0.024), IV (-0.022)"
"23","Deep _epibenthos",0.0468925300000001,"II (0.013), III (-0.024)"
"24","Porpoise",0.0366671500000001,"IV (-0.018), V (0.014)"
"25","Zoop_omniv",0.0306,"II (-0.015), III (0.015)"
"26","Eulachon",0.03020161,"III (-0.015), IV (0.015)"
"27","Sunflower_stars",0.0288692,"III (0.014), IV (-0.014)"
"28","Squids",0.0275765,"III (-0.014), IV (0.014)"
"29","Invert_eat_seaduck",0.0194334999999999," ()"
"30","Snail_crust_S",0.017795," ()"
"31","Leather_stars",0.017649," ()"
"32","Oystercatchers",0.0170080000000001," ()"
"33","Barnacles",0.0136," ()"
"34","Pisaster_Evasterias",0.0131661999999999," ()"
"35","Jellies",0.01282," ()"
"36","Zoopl_near_onmiv",0.0104," ()"
"37","Mussels",0.00882999999999995," ()"
"38","Helmet_crab",0.00866499999999993," ()"
"39","Capelin",0.0081269," ()"
"40","Deep_infauna_S",0.00771000000000001," ()"
"41","Pinnipeds",0.00723488999999995," ()"
"42","Deep_infauna_L",0.00719999999999994," ()"
"43","Herring_L",0.00528650000000004," ()"
"44","Pollock_S",0.00502999999999995," ()"
"45","Shallow_infauna_clams",0.00462999999999997," ()"
"46","Sandlance",0.0019200799999999," ()"
"47","Herring_S",0.000980000000000057," ()"
"48","Cucumbers",0," ()"
"49","Meiofauna",0," ()"
"50","Shallow_infauna_S",0," ()"
"51","Urchins",0," ()"
"52","Zoopl_herb",0," ()"
"53","Zoopl_near_herb",0," ()"
